KPIID,KPI Name,Formula/Logic (per100g),Metrics,Direction,Min,Max,Weight,Category,ToReport?,DishType,CalLevel,KPI DISPLAY NAME,Remarks For Dashboard,NumeratorMetric,DenominatorMetric,Factor
13,HighSugarDessertExposure%,Desserts with Sugar >20 g/100 g ÷ Total Desserts × 100,PERCENTAGE,LOWER,-,0.2,0,NUTRITIONAL,No,dessert,Dish,High-Sugar Dessert Exposure,"Re-activated per spec (was ToReport=No, weight 0). Only valid where desserts exist in the period.",HighSugarDessertCount,DessertDishCount,1
14,AvgSaltMain,Total Salt (g) Main Dishes ÷ Total Main Dishes,AVERAGE,LOWER,-,1.2,0.02,NUTRITIONAL,Yes,main,Dish,Average Salt Content - Main Dishes,Scope corrected to main dishes; max corrected 1000 ? 1.2 g/100 g.,TotalSaltMainDish_g,MainDishCount,1
15,AvgSaltSide,Total Salt (g) Side Dishes ÷ Total Side Dishes,AVERAGE,LOWER,-,0.8,0.02,NUTRITIONAL,Yes,side,Dish,Average Salt Content - Side Dishes,Max corrected 800 ? 0.8 g/100 g.,TotalSaltSideDish_g,SideDishCount,1
16,SodiumDensityMain,(Sodium mg per Main Dish ÷ Calories per Main Dish) × 1000,RATIO,LOWER,-,1200,0.02,NUTRITIONAL,Yes,main,Dish,Sodium Density - Main Dishes,"Sodium mg per 1,000 kcal.",TotalSodiumPerMainDish_mg,TotalCaloriesMainDish,1000
17,AvgSodiumSide,Total Sodium (mg) Side Dishes ÷ Total Side Dishes,AVERAGE,LOWER,-,320,0.02,NUTRITIONAL,Yes,side,Dish,Average Sodium Content - Side Dishes,Average sodium mg/100 g.,TotalSodiumPerSideDish_mg,SideDishCount,1
18,EnergyStability%,Sum of Dish Stability Scores ÷ (4 × Total Dishes) × 100,PERCENTAGE,-,-,-,0,NUTRITIONAL,No,total,Dish,Energy Stability,HIDDEN - current score is not suitable for separate dishes.,TotalEnergyStabilityScore,TotalDishes,0.25
19,StableMeals%,Dishes Scoring ?3 ÷ Total Dishes × 100,PERCENTAGE,-,-,-,0,NUTRITIONAL,No,total,Dish,Stable Meals,HIDDEN - depends on Energy Stability.,StableDishCount,TotalDishes,1
20,HighSodiumMainExposure%,Main Dishes with Sodium >600 mg/100 g ÷ Total Main Dishes × 100,PERCENTAGE,LOWER,-,0.2,0.01,NUTRITIONAL,Yes,main,Dish,High-Sodium Main Dish Exposure,,HighSodiumMainDishCount,MainDishCount,1
21,HighSodiumSideExposure%,Side Dishes with Sodium >400 mg/100 g ÷ Total Side Dishes × 100,PERCENTAGE,LOWER,-,0.2,0.01,NUTRITIONAL,Yes,side,Dish,High-Sodium Side Dish Exposure,,HighSodiumSideDishCount,SideDishCount,1
22,HighSugarMainExposure%,Main Dishes with Sugar ?15 g/100 g ÷ Total Main Dishes × 100,PERCENTAGE,LOWER,-,0.1,0.01,NUTRITIONAL,Yes,main,Dish,High-Sugar Main Dish Exposure,,HighSugarMainDishCount,MainDishCount,1
23,LowStabilityMeals%,Dishes Scoring ?1 ÷ Total Dishes × 100,PERCENTAGE,-,-,-,0,NUTRITIONAL,No,total,Dish,Low-Stability Meals,HIDDEN - depends on Energy Stability.,LowStabilityDishCount,TotalDishes,1
24,HealthyCookingMain%,Approved Low-Fat Method Main Dishes ÷ Total Main Dishes × 100,PERCENTAGE,HIGHER,0.7,-,0.04,COOKING,Yes,main,Dish,Healthier Cooking Methods - Main Dishes,Needs a controlled approved cooking-method lookup.,LowFatCookingMainDishCount,MainDishCount,1
25,HealthyCookingSide%,Approved Low-Fat Method Side Dishes ÷ Total Side Dishes × 100,PERCENTAGE,HIGHER,0.7,-,0.04,COOKING,Yes,side,Dish,Healthier Cooking Methods - Side Dishes,Needs a controlled approved cooking-method lookup.,LowFatCookingSideDishCount,SideDishCount,1
26,DeepFriedMainExposure%,Deep-Fried Main Dishes ÷ Total Main Dishes × 100,PERCENTAGE,LOWER,-,0.1,0.03,COOKING,Yes,main,Dish,Deep-Fried Main Dish Exposure,Denominator corrected to main dishes; weight 0.06 ? 0.03 after M/S split.,DeepFriedMainDishCount,MainDishCount,1
27,DeepFriedSideExposure%,Deep-Fried Side Dishes ÷ Total Side Dishes × 100,PERCENTAGE,LOWER,-,0.15,0.02,COOKING,Yes,side,Dish,Deep-Fried Side Dish Exposure,Row was blank - populated from spec ID 26S.,DeepFriedSideDishCount,SideDishCount,1
28,PlantBasedFatUsage%,Plant-Oil Dishes ÷ Total Fat-Using Dishes × 100,PERCENTAGE,HIGHER,0.6,-,0.04,COOKING,Yes,total,Dish,Plant-Based Cooking Fat Usage,Denominator = eligible fat-using dishes only.,PlantBasedFatUsageCount,FatUsingDishCount,1
29,AvgSaturatedFatMain,Total Saturated Fat (g) Main Dishes ÷ Total Main Dishes,AVERAGE,LOWER,-,5,0.03,COOKING,Yes,main,Dish,Average Saturated Fat - Main Dishes,Max 6 ? 5 g/100 g; weight 0.05 ? 0.03.,TotalSatFatPerMainDish,MainDishCount,1
30,AvgSaturatedFatSide,Total Saturated Fat (g) Side Dishes ÷ Total Side Dishes,AVERAGE,LOWER,-,3,0.01,COOKING,Yes,side,Dish,Average Saturated Fat - Side Dishes,Numerator scope corrected to side dishes; max 6 ? 3; weight 0.05 ? 0.01.,TotalSatFatPerSideDish,SideDishCount,1
31,ProcessedMeatExposureMain%,Processed-Meat Main Dishes ÷ Total Main Dishes × 100,PERCENTAGE,LOWER,-,0.15,0.05,COOKING,Yes,main,Dish,Processed Meat Exposure,,ProcessedMeatMainDishCount,MainDishCount,1
32,NutriScoreEExposure%,Nutri-Score E Dishes ÷ Total Scored Dishes × 100,PERCENTAGE,LOWER,-,0.05,0.02,COOKING,Yes,total,Dish,Nutri-Score E Exposure,Max relaxed 2% ? 5% per spec.,JunkFoodDishCount,TotalDishes,1
33,NutrientDenseUsageMain%,Main Dishes Containing Approved Nutrient-Dense Ingredients ÷ Total Main Dishes × 100,PERCENTAGE,HIGHER,0.1,-,0.01,COOKING,Yes,main,Dish,Nutrient-Dense Ingredient Usage - Main Dishes,Min 0.30 ? 0.10; weight 0.02 ? 0.01. Needs approved ingredient list.,SuperfoodMainDishCount,MainDishCount,1
34,NutrientDenseUsageSide%,Side Dishes Containing Approved Nutrient-Dense Ingredients ÷ Total Side Dishes × 100,PERCENTAGE,HIGHER,0.3,-,0.01,COOKING,Yes,side,Dish,Nutrient-Dense Ingredient Usage - Side Dishes,Denominator corrected to side dishes; weight 0.02 ? 0.01.,SuperfoodSideDishCount,SideDishCount,1
35,MenuDiversityMain%,Unique Main Dishes ÷ Total Main Dish Occurrences × 100,PERCENTAGE,HIGHER,0.85,-,0.04,MENU,Yes,main,Period,Main Dish Menu Diversity,Scope corrected to main dishes; weight 0.06 ? 0.04.,UniqueMainDishes,MainDishOccurrences,1
36,MenuDiversitySide%,Unique Side Dishes ÷ Total Side Dish Occurrences × 100,PERCENTAGE,HIGHER,0.75,-,0.03,MENU,Yes,side,Period,Side Dish Menu Diversity,Row was blank - populated from spec ID 32S.,UniqueSideDishes,SideDishOccurrences,1
37,RepetitionRateMain%,Repeated Main Dish Occurrences ÷ Total Main Dishes × 100,PERCENTAGE,LOWER,-,0.15,0.04,MENU,Yes,main,Period,Main Dish Repetition Rate,,RepeatedMainOccurrences,MainDishOccurrences,1
38,RepetitionRateSide%,Repeated Side Dish Occurrences ÷ Total Side Dishes × 100,PERCENTAGE,LOWER,-,0.25,0.02,MENU,Yes,side,Period,Side Dish Repetition Rate,Max 0.15 ? 0.25 per spec.,RepeatedSideOccurrences,SideDishOccurrences,1
39,WeeklyProteinVarietyMain,Count of Unique Protein Sources Across Main Dishes per Week,COUNT,HIGHER,5,-,0.03,MENU,Yes,main,Period,Weekly Protein Variety,Changed from ratio (0.60) to a weekly COUNT of unique protein sources; weight 0.02 ? 0.03.,WeeklyProteinVarietyMain,One,1
40,MeatShareMain%,Meat Main Dishes ÷ Total Main Dishes × 100,PERCENTAGE,RANGE,0.4,0.6,0.01,MENU,Yes,main,Dish,Meat-Based Main Dish Share,Range 0.30-0.50 ? 0.40-0.60.,MeatMainDishCount,MainDishCount,1
41,FishShareMain%,Fish & Seafood Main Dishes ÷ Total Main Dishes × 100,PERCENTAGE,RANGE,0.15,0.3,0.01,MENU,Yes,main,Dish,Fish-Based Main Dish Share,,FishMainDishCount,MainDishCount,1
42,PlantBasedShareMain%,Plant-Based Main Dishes ÷ Total Main Dishes × 100,PERCENTAGE,RANGE,0.1,0.3,0.02,MENU,Yes,main,Dish,Plant-Based Main Dish Share,Range 0.25-0.40 ? 0.10-0.30; weight 0.01 ? 0.02.,PlantBasedProteinMainDishCount,MainDishCount,1
43,ComposedSaladSide%,Composed Salads ÷ Total Side Dishes × 100,PERCENTAGE,HIGHER,0.2,-,0,MENU,No,side,Dish,Composed Salad Availability,"Re-activated per spec (was ToReport=No, weight 0).",ComposedSaladSideDishCount,SideDishCount,1
,OverallPerformanceScore,(Nutritional Score + Cooking Score + Menu Score) ÷ 3,PERCENTAGE,HIGHER,0.65,-,1,OVERALL,Yes,total,Period,Overall Performance Score (OPS),Composite score. The Weight cell on this row is the control total of all KPI weights and must equal 1.00.,,,
